Year,0-4,5-14,15-19,20-29,30-39,40-59,60-79,80+,Total_deaths,ignorado,fonte,evidencia
2022,47341,10251,14737,52207,64206,269177,602365,481645,1544266,2337,SIM/DATASUS,ev-confirmed
2023,45467,10120,13724,50133,62131,260187,578295,443680,1465610,1873,SIM/DATASUS,ev-confirmed
2024,41366,9519,12718,45968,59479,249159,568505,438132,1426346,1500,SIM/DATASUS,ev-confirmed
2025,47504,10573,14339,52379,64914,271841,604198,463553,1529301,0,RC/ARPEN (corrigido),ev-inference
